X;Y;Z
597206.9741;135237.9667;2609.278173
597271.2918;135237.9667;2609.977162
597335.6096;135237.9667;2606.502901
597399.9273;135237.9667;2596.879601
597464.2451;135237.9667;2564.468289
597528.5628;135237.9667;2528.679178
597592.8806;135237.9667;2501.22275
597657.1983;135237.9667;2486.088119
597721.5161;135237.9667;2468.188666
597785.8338;135237.9667;2457.432195
597850.1516;135237.9667;2440.856817
597914.4693;135237.9667;2428.033187
597978.7871;135237.9667;2412.771726
598043.1048;135237.9667;2402.532642
598107.4226;135237.9667;2400.851803
598171.7403;135237.9667;2403.635295
598236.0581;135237.9667;2394.45399
598300.3758;135237.9667;2387.431494
598364.6936;135237.9667;2377.054568
598429.0113;135237.9667;2364.050073
598493.3291;135237.9667;2356.650155
598557.6468;135237.9667;2376.100322
598621.9646;135237.9667;2360.850767
598686.2823;135237.9667;2352.128204
598750.6001;135237.9667;2366.74373
598814.9178;135237.9667;2375.775512
598879.2356;135237.9667;2390.152711
598943.5533;135237.9667;2389.189884
599007.8711;135237.9667;2392.462336
599072.1888;135237.9667;2406.526542
599136.5066;135237.9667;2424.57725
599200.8243;135237.9667;2447.268937
599265.1421;135237.9667;2466.224192
599329.4598;135237.9667;2474.298003
599393.7775;135237.9667;2493.998452
599458.0953;135237.9667;2508.122342
599522.413;135237.9667;2513.87728
599586.7308;135237.9667;2534.489284
599651.0485;135237.9667;2538.604528
599715.3663;135237.9667;2556.384281
599779.684;135237.9667;2563.649385
599844.0018;135237.9667;2583.074872
599908.3195;135237.9667;2603.291013
599972.6373;135237.9667;2671.161657
600036.955;135237.9667;2699.175408
600101.2728;135237.9667;2704.269046
600165.5905;135237.9667;2705.220569
600229.9083;135237.9667;2706.290738
600294.226;135237.9667;2702.244787
600358.5438;135237.9667;2688.938048
600422.8615;135237.9667;2671.321876
600487.1793;135237.9667;2653.574988
600551.497;135237.9667;2637.931072
600615.8148;135237.9667;2625.165614
600680.1325;135237.9667;2615.506506
600744.4503;135237.9667;2609.024519
600808.768;135237.9667;2600.362367
600873.0858;135237.9667;2593.736722
600937.4035;135237.9667;2579.006312
601001.7213;135237.9667;2561.048486
601066.039;135237.9667;2542.306346
601130.3568;135237.9667;2524.60343
601194.6745;135237.9667;2511.801917
601258.9923;135237.9667;2505.554386
601323.31;135237.9667;2500.000001
601387.6278;135237.9667;2518.999368
601451.9455;135237.9667;2529.592166
601516.2632;135237.9667;2544.475941
601580.581;135237.9667;2561.285522
601644.8987;135237.9667;2578.64596
601709.2165;135237.9667;2596.346885
601773.5342;135237.9667;2603.889181
601837.852;135237.9667;2603.564521
601902.1697;135237.9667;2600.908532
601966.4875;135237.9667;2572.348594
602030.8052;135237.9667;2541.078133
602095.123;135237.9667;2514.359414
602159.4407;135237.9667;2499.462083
602223.7585;135237.9667;2497.640344
602288.0762;135237.9667;2500
602352.394;135237.9667;2499.999999
602416.7117;135237.9667;2500
602481.0295;135237.9667;2500
602545.3472;135237.9667;2500
602609.665;135237.9667;2500
602673.9827;135237.9667;2501.580327
602738.3005;135237.9667;2509.169475
602802.6182;135237.9667;2519.354693
602866.936;135237.9667;2532.748856
602931.2537;135237.9667;2549.33987
602995.5715;135237.9667;2569.851938
603059.8892;135237.9667;2591.615958
603124.207;135237.9667;2617.380523
603188.5247;135237.9667;2645.90132
603252.8425;135237.9667;2674.031192
603317.1602;135237.9667;2707.970497
603381.478;135237.9667;2766.169337
603445.7957;135237.9667;2803.623132
603510.1135;135237.9667;2807.192573
603574.4312;135237.9667;2800
597206.9741;135173.6825;2612.980773
597271.2918;135173.6825;2609.673469
597335.6096;135173.6825;2605.562026
597399.9273;135173.6825;2593.908539
597464.2451;135173.6825;2558.582838
597528.5628;135173.6825;2520.982531
597592.8806;135173.6825;2497.485051
597657.1983;135173.6825;2484.071324
597721.5161;135173.6825;2469.266691
597785.8338;135173.6825;2453.209236
597850.1516;135173.6825;2436.692495
597914.4693;135173.6825;2420.795815
597978.7871;135173.6825;2408.222314
598043.1048;135173.6825;2398.456439
598107.4226;135173.6825;2397.25398
598171.7403;135173.6825;2399.127208
598236.0581;135173.6825;2397.683367
598300.3758;135173.6825;2379.874164
598364.6936;135173.6825;2366.14591
598429.0113;135173.6825;2357.403975
598493.3291;135173.6825;2352.951963
598557.6468;135173.6825;2356.616979
598621.9646;135173.6825;2355.911804
598686.2823;135173.6825;2357.686681
598750.6001;135173.6825;2365.819232
598814.9178;135173.6825;2378.667958
598879.2356;135173.6825;2389.307986
598943.5533;135173.6825;2384.900007
599007.8711;135173.6825;2394.487027
599072.1888;135173.6825;2408.560816
599136.5066;135173.6825;2433.978594
599200.8243;135173.6825;2458.662106
599265.1421;135173.6825;2474.743603
599329.4598;135173.6825;2487.832019
599393.7775;135173.6825;2497.778918
599458.0953;135173.6825;2507.576283
599522.413;135173.6825;2523.701308
599586.7308;135173.6825;2531.418609
599651.0485;135173.6825;2543.195624
599715.3663;135173.6825;2556.879159
599779.684;135173.6825;2576.41233
599844.0018;135173.6825;2597.30249
599908.3195;135173.6825;2634.324315
599972.6373;135173.6825;2694.73147
600036.955;135173.6825;2709.196406
600101.2728;135173.6825;2708.684695
600165.5905;135173.6825;2707.975132
600229.9083;135173.6825;2706.802194
600294.226;135173.6825;2700.493446
600358.5438;135173.6825;2684.303119
600422.8615;135173.6825;2664.275408
600487.1793;135173.6825;2645.47681
600551.497;135173.6825;2629.589702
600615.8148;135173.6825;2616.654695
600680.1325;135173.6825;2608.143567
600744.4503;135173.6825;2604.633198
600808.768;135173.6825;2603.064065
600873.0858;135173.6825;2598.232066
600937.4035;135173.6825;2581.461776
601001.7213;135173.6825;2560.857155
601066.039;135173.6825;2539.89866
601130.3568;135173.6825;2519.636116
601194.6745;135173.6825;2501.262052
601258.9923;135173.6825;2500.111022
601323.31;135173.6825;2504.639668
601387.6278;135173.6825;2510.754696
601451.9455;135173.6825;2520.933119
601516.2632;135173.6825;2534.524842
601580.581;135173.6825;2550.899622
601644.8987;135173.6825;2568.611692
601709.2165;135173.6825;2585.787347
601773.5342;135173.6825;2597.215506
601837.852;135173.6825;2597.305446
601902.1697;135173.6825;2585.27119
601966.4875;135173.6825;2560.14203
602030.8052;135173.6825;2529.814395
602095.123;135173.6825;2502.438295
602159.4407;135173.6825;2492.987602
602223.7585;135173.6825;2491.94242
602288.0762;135173.6825;2492.814011
602352.394;135173.6825;2494.032567
602416.7117;135173.6825;2494.385655
602481.0295;135173.6825;2494.311663
602545.3472;135173.6825;2494.41911
602609.665;135173.6825;2494.851146
602673.9827;135173.6825;2497.170777
602738.3005;135173.6825;2502.771346
602802.6182;135173.6825;2510.610244
602866.936;135173.6825;2521.709743
602931.2537;135173.6825;2540.386662
602995.5715;135173.6825;2564.640751
603059.8892;135173.6825;2592.698009
603124.207;135173.6825;2616.854059
603188.5247;135173.6825;2642.609056
603252.8425;135173.6825;2673.709511
603317.1602;135173.6825;2712.476316
603381.478;135173.6825;2772.991805
603445.7957;135173.6825;2808.651335
603510.1135;135173.6825;2811.877061
603574.4312;135173.6825;2803.79522
597206.9741;135109.3984;2609.037173
597271.2918;135109.3984;2602.671899
597335.6096;135109.3984;2594.530845
597399.9273;135109.3984;2574.564913
597464.2451;135109.3984;2544.67946
